Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
ZIP Code,2018,60645,"47,732","12,906","7,091","6,952","5,824","5,468","5,064","2,621","1,806",,,"43,403","34,826","6,564","23,992","23,740","8,127",,,"21,481",,ZIP_Code-60645-2018
ZIP Code,2018,60646,"27,987","6,000","3,377","3,458","3,787","4,086","3,238","2,108","1,933",,,"26,185","21,987","5,732","14,765","13,222","3,971",,,"20,315",,ZIP_Code-60646-2018
ZIP Code,2018,60647,"87,509","16,298","22,356","20,993","11,055","7,700","5,309","2,695","1,103",,,"81,585","71,211","6,224","43,182","44,327","39,226",,,"38,809",,ZIP_Code-60647-2018
ZIP Code,2018,60649,"46,024","10,493","7,505","6,417","5,950","5,706","5,593","2,807","1,553",,,"42,809","35,531","6,570","26,852","19,172","1,183",,,"1,315",,ZIP_Code-60649-2018
ZIP Code,2018,60651,"63,218","17,329","11,457","8,910","7,649","7,391","5,787","3,359","1,336",,,"58,438","45,889","7,220","34,084","29,134","26,860",,,"2,623",,ZIP_Code-60651-2018
ZIP Code,2018,60652,"43,907","11,679","7,185","5,764","6,105","6,065","4,062","1,897","1,150",,,"41,138","32,228","4,740","23,123","20,784","17,479",,,"4,472",,ZIP_Code-60652-2018
ZIP Code,2018,60653,"31,972","8,912","4,760","4,635","4,404","3,369","3,233","1,547","1,112",,,"29,340","23,060","4,122","18,269","13,703",689,,,"1,374",,ZIP_Code-60653-2018
ZIP Code,2018,60654,"19,135","1,611","5,273","5,645","2,508","2,217","1,231",489,161,,,"17,971","17,524","1,127","9,381","9,754",997,,,"14,124",,ZIP_Code-60654-2018
ZIP Code,2018,60655,"28,804","7,015","4,153","3,686","3,798","4,366","3,278","1,582",926,,,"26,778","21,789","3,731","14,928","13,876","2,390",,,"23,795",,ZIP_Code-60655-2018
ZIP Code,2018,60656,"27,579","4,947","3,690","4,934","3,623","3,805","3,208","2,115","1,257",,,"25,882","22,632","4,637","13,587","13,992","3,382",,,"21,053",,ZIP_Code-60656-2018
ZIP Code,2018,60657,"70,052","8,438","23,899","17,032","7,053","5,646","4,288","2,099","1,597",,,"66,244","61,614","5,618","34,638","35,414","4,901",,,"56,392",,ZIP_Code-60657-2018
